cnpj;nome;nome_reduzido;tipo;uf;situacao;banco;agencia;conta
01949095000157;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CRUZEIRO DO SUL;APAE DE CRUZEIRO DO SUL;apae;AC;;001;0234-8;21875-8
03488590000131;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CUIABA;APAE DE CUIABA;apae;MT;;001;0046-9;0000037254-4
11492609000141;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE CUPIRA;APAE DE CUPIRA;apae;PE;;001;1052-9;30326-7
12437281000123;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DELMIRO GOUVEIA;APAE DE DELMIRO GOUVEIA;apae;AL;;104;1135-5;577561111-6
04052873000107;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DENISE;APAE DE DENISE;apae;MT;;001;3669-2;13194-6
05236276000197;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DEPUTADO IRAPUAN PINHEIRO;APAE DE DEPUTADO IRAPUAN PINHEIRO;apae;CE;;104;3838;23927-1
78677093000180;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DOIS VIZINHOS;APAE DE DOIS VIZINHOS;apae;PR;;001;0919-9;43101-X
07396687000175;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ELDORADO DOS CARAJAS;APAE DE ELDORADO DOS CARAJAS;apae;PA;;001;4140-8;17114-X
55497015000107;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE EPITACIOLANDIA;APAE DE EPITACIOLANDIA;apae;AC;;001;3952-7;24917-3
01180414000102;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ESPERANCA;APAE DE ESPERANCA;apae;PB;;001;2047-8;18422-5
73874638000125;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE ESTRELA DO SUL;APAE DE ESTRELA DO SUL;apae;MG;;001;04472;711675
13609771000122;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FEIRA DE SANTANA;APAE DE FEIRA DE SANTANA;apae;BA;;237;03516-0;0000917-2
08966929000181;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FELIZ NATAL;APAE DE FELIZ NATAL;apae;MT;;748;0812;02398-1
03156059000161;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FLORESTA DO ARAGUAIA;APAE DE FLORESTA DO ARAGUAIA;apae;PA;;037;0103-1;0004814860-1
36969560000104;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FORMOSA DO RIO PRETO;APAE DE FORMOSA DO RIO PRETO;apae;BA;;004;092;035587-8
05451763000172;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FORQUILHA;APAE DE FORQUILHA;apae;CE;;001;3919-5;30353-4
07143845000185;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FORTALEZA;APAE DE FORTALEZA;apae;CE;;237;00741;0023063-4
20043493000154;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE FRUTAL;APAE DE FRUTAL;apae;MG;;001;0422-7;40428-4
10136752000138;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE GARANHUNS;APAE DE GARANHUNS;apae;PE;;001;0067-1;13612-3
